==========
일반 데이터 보고서
==========

시험 데이타 파일 : C:\Zive Data\Smart Interface\Experiments\Data\박겸손\23_DCIR_FCC_cyc\20230524\HNE_FCC_DCIR3_06_026.wrd
테스트 기간 : 2023-05-24 03:59:46 ~ 2023-05-27 03:12:59
데이터 개수 : 14477
시험자 성명 : 
상품 번호 : 
메모 : 
조건 파일명 : F:\23_DCIR_FCC.cyc
단계 개수 : 24

--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
인덱스         	시험_시간(s)   	사이클_번호    	사이클_시간(s) 	단계_번호      	단계_시간(s)   	전류(A)        	전압(V)        	IR(ohm)       	보조전압1(V)   	보조전압2(V)   	보조전압3(V)   	온도('C)       	OCP(V)         	파워(W)        	부하(Ohm)      	누적_용량(Ah)  	절대값_용량(Ah)	전류_범위      
--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
1             	0:00:00:13.210	1             	0:00:00:13.210	1             	0:00:00:13.210	-2.38536E-003 	2.49989E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	0.00000E+000  	-5.96316E-003 	-1.04801E+003 	-8.75243E-006 	8.75243E-006  	10mA          
2             	0:00:00:43.210	1             	0:00:00:43.210	2             	0:00:00:30.000	-4.20915E-004 	2.49989E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	0.00000E+000  	-1.05224E-003 	-5.93919E+003 	-1.58423E-005 	1.58423E-005  	1mA           
3             	0:00:01:13.210	1             	0:00:01:13.210	2             	0:00:01:00.000	-2.37816E-004 	2.49989E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	0.00000E+000  	-5.94515E-004 	-1.05119E+004 	-1.84375E-005 	1.84375E-005  	1mA           
4             	0:00:01:43.210	1             	0:00:01:43.210	2             	0:00:01:30.000	-1.68231E-004 	2.50005E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	0.00000E+000  	-4.20587E-004 	-1.48608E+004 	-2.00938E-005 	2.00938E-005  	1mA           
5             	0:00:02:13.210	1             	0:00:02:13.210	2             	0:00:02:00.000	-1.31648E-004 	2.49989E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	0.00000E+000  	-3.29107E-004 	-1.89892E+004 	-2.13297E-005 	2.13297E-005  	1mA           
6             	0:00:02:43.210	1             	0:00:02:43.210	2             	0:00:02:30.000	-1.08994E-004 	2.49974E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	0.00000E+000  	-2.72457E-004 	-2.29346E+004 	-2.23259E-005 	2.23259E-005  	1mA           
7             	0:00:03:08.940	1             	0:00:03:08.940	2             	0:00:02:55.730	-9.53100E-005 	2.50005E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	0.00000E+000  	-2.38280E-004 	-2.62307E+004 	-2.30543E-005 	2.30543E-005  	1mA           
8             	0:00:03:38.940	1             	0:00:03:38.940	3             	0:00:00:30.000	0.00000E+000  	2.56168E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.56168E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
9             	0:00:04:08.940	1             	0:00:04:08.940	3             	0:00:01:00.000	0.00000E+000  	2.57974E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.57974E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
10            	0:00:04:38.940	1             	0:00:04:38.940	3             	0:00:01:30.000	0.00000E+000  	2.59067E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.59067E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
11            	0:00:05:08.940	1             	0:00:05:08.940	3             	0:00:02:00.000	0.00000E+000  	2.59891E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.59891E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
12            	0:00:05:38.940	1             	0:00:05:38.940	3             	0:00:02:30.000	0.00000E+000  	2.60541E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.60541E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
13            	0:00:06:08.940	1             	0:00:06:08.940	3             	0:00:03:00.000	0.00000E+000  	2.61048E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.61048E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
14            	0:00:06:38.940	1             	0:00:06:38.940	3             	0:00:03:30.000	0.00000E+000  	2.61491E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.61491E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
15            	0:00:07:08.940	1             	0:00:07:08.940	3             	0:00:04:00.000	0.00000E+000  	2.61856E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.61856E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
16            	0:00:07:38.940	1             	0:00:07:38.940	3             	0:00:04:30.000	0.00000E+000  	2.62204E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.62204E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
17            	0:00:08:08.940	1             	0:00:08:08.940	3             	0:00:05:00.000	0.00000E+000  	2.62490E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.62490E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
18            	0:00:08:38.940	1             	0:00:08:38.940	3             	0:00:05:30.000	0.00000E+000  	2.62759E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.62759E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
19            	0:00:09:08.940	1             	0:00:09:08.940	3             	0:00:06:00.000	0.00000E+000  	2.63012E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.63012E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
20            	0:00:09:38.940	1             	0:00:09:38.940	3             	0:00:06:30.000	0.00000E+000  	2.63234E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.63234E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
21            	0:00:10:08.940	1             	0:00:10:08.940	3             	0:00:07:00.000	0.00000E+000  	2.63456E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.63456E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
22            	0:00:10:38.940	1             	0:00:10:38.940	3             	0:00:07:30.000	0.00000E+000  	2.63630E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.63630E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
23            	0:00:11:08.940	1             	0:00:11:08.940	3             	0:00:08:00.000	0.00000E+000  	2.63820E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.63820E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
24            	0:00:11:38.940	1             	0:00:11:38.940	3             	0:00:08:30.000	0.00000E+000  	2.63995E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.63995E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
25            	0:00:12:08.940	1             	0:00:12:08.940	3             	0:00:09:00.000	0.00000E+000  	2.64137E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.64137E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
26            	0:00:12:38.940	1             	0:00:12:38.940	3             	0:00:09:30.000	0.00000E+000  	2.64311E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.64311E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
27            	0:00:13:08.940	1             	0:00:13:08.940	3             	0:00:10:00.000	0.00000E+000  	2.64438E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.64438E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
28            	0:00:13:38.940	1             	0:00:13:38.940	3             	0:00:10:30.000	0.00000E+000  	2.64581E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.64581E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
29            	0:00:14:08.940	1             	0:00:14:08.940	3             	0:00:11:00.000	0.00000E+000  	2.64723E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.64723E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
30            	0:00:14:38.940	1             	0:00:14:38.940	3             	0:00:11:30.000	0.00000E+000  	2.64850E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.64850E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
31            	0:00:15:08.940	1             	0:00:15:08.940	3             	0:00:12:00.000	0.00000E+000  	2.64961E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.64961E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
32            	0:00:15:38.940	1             	0:00:15:38.940	3             	0:00:12:30.000	0.00000E+000  	2.65072E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.65072E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
33            	0:00:16:08.940	1             	0:00:16:08.940	3             	0:00:13:00.000	0.00000E+000  	2.65183E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.65183E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
34            	0:00:16:38.940	1             	0:00:16:38.940	3             	0:00:13:30.000	0.00000E+000  	2.65310E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.65310E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
35            	0:00:17:08.940	1             	0:00:17:08.940	3             	0:00:14:00.000	0.00000E+000  	2.65389E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.65389E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
36            	0:00:17:38.940	1             	0:00:17:38.940	3             	0:00:14:30.000	0.00000E+000  	2.65500E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.65500E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
37            	0:00:18:08.940	1             	0:00:18:08.940	3             	0:00:15:00.000	0.00000E+000  	2.65595E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.65595E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
38            	0:00:18:38.940	1             	0:00:18:38.940	3             	0:00:15:30.000	0.00000E+000  	2.65706E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.65706E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
39            	0:00:19:08.940	1             	0:00:19:08.940	3             	0:00:16:00.000	0.00000E+000  	2.65769E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.65769E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
40            	0:00:19:38.940	1             	0:00:19:38.940	3             	0:00:16:30.000	0.00000E+000  	2.65864E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.65864E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
41            	0:00:20:08.940	1             	0:00:20:08.940	3             	0:00:17:00.000	0.00000E+000  	2.65959E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.65959E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
42            	0:00:20:38.940	1             	0:00:20:38.940	3             	0:00:17:30.000	0.00000E+000  	2.66038E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66038E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
43            	0:00:21:08.940	1             	0:00:21:08.940	3             	0:00:18:00.000	0.00000E+000  	2.66102E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66102E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
44            	0:00:21:38.940	1             	0:00:21:38.940	3             	0:00:18:30.000	0.00000E+000  	2.66181E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66181E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
45            	0:00:22:08.940	1             	0:00:22:08.940	3             	0:00:19:00.000	0.00000E+000  	2.66260E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66260E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
46            	0:00:22:38.940	1             	0:00:22:38.940	3             	0:00:19:30.000	0.00000E+000  	2.66324E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66324E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
