==========
일반 데이터 보고서
==========

시험 데이타 파일 : C:\Zive Data\Smart Interface\Experiments\Data\박겸손\FC OCP test -0_01C_cyc\20230302\OCP_full cell _6_026.wrd
테스트 기간 : 2023-03-02 21:54:08 ~ 2023-03-11 22:49:40
데이터 개수 : 13017
시험자 성명 : 
상품 번호 : 
메모 : 
조건 파일명 : C:\Zive Data\Smart Interface\Experiments\Schedule\FC OCP test -0.01C.cyc
단계 개수 : 7

--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
인덱스         	시험_시간(s)   	사이클_번호    	사이클_시간(s) 	단계_번호      	단계_시간(s)   	전류(A)        	전압(V)        	IR(ohm)       	보조전압1(V)   	보조전압2(V)   	보조전압3(V)   	온도('C)       	OCP(V)         	파워(W)        	부하(Ohm)      	누적_용량(Ah)  	절대값_용량(Ah)	전류_범위      
--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
1             	0:00:01:00.000	1             	0:00:01:00.000	1             	0:00:01:00.000	0.00000E+000  	2.84527E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84527E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
2             	0:00:02:00.000	1             	0:00:02:00.000	1             	0:00:02:00.000	0.00000E+000  	2.84511E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84511E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
3             	0:00:03:00.000	1             	0:00:03:00.000	1             	0:00:03:00.000	0.00000E+000  	2.84495E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84495E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
4             	0:00:04:00.000	1             	0:00:04:00.000	1             	0:00:04:00.000	0.00000E+000  	2.84511E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84511E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
5             	0:00:05:00.000	1             	0:00:05:00.000	1             	0:00:05:00.000	0.00000E+000  	2.84511E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84511E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
6             	0:00:06:00.000	1             	0:00:06:00.000	1             	0:00:06:00.000	0.00000E+000  	2.84480E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84480E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
7             	0:00:07:00.000	1             	0:00:07:00.000	1             	0:00:07:00.000	0.00000E+000  	2.84511E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84511E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
8             	0:00:08:00.000	1             	0:00:08:00.000	1             	0:00:08:00.000	0.00000E+000  	2.84480E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84480E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
9             	0:00:09:00.000	1             	0:00:09:00.000	1             	0:00:09:00.000	0.00000E+000  	2.84495E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84495E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
10            	0:00:10:00.000	1             	0:00:10:00.000	1             	0:00:10:00.000	0.00000E+000  	2.84480E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84480E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
11            	0:00:11:00.000	1             	0:00:11:00.000	1             	0:00:11:00.000	0.00000E+000  	2.84495E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84495E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
12            	0:00:12:00.000	1             	0:00:12:00.000	1             	0:00:12:00.000	0.00000E+000  	2.84495E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84495E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
13            	0:00:13:00.000	1             	0:00:13:00.000	1             	0:00:13:00.000	0.00000E+000  	2.84480E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84480E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
14            	0:00:14:00.000	1             	0:00:14:00.000	1             	0:00:14:00.000	0.00000E+000  	2.84480E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84480E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
15            	0:00:15:00.000	1             	0:00:15:00.000	1             	0:00:15:00.000	0.00000E+000  	2.84464E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84464E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
16            	0:00:16:00.000	1             	0:00:16:00.000	1             	0:00:16:00.000	0.00000E+000  	2.84480E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84480E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
17            	0:00:17:00.000	1             	0:00:17:00.000	1             	0:00:17:00.000	0.00000E+000  	2.84480E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84480E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
18            	0:00:18:00.000	1             	0:00:18:00.000	1             	0:00:18:00.000	0.00000E+000  	2.84448E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84448E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
19            	0:00:19:00.000	1             	0:00:19:00.000	1             	0:00:19:00.000	0.00000E+000  	2.84448E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84448E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
20            	0:00:20:00.000	1             	0:00:20:00.000	1             	0:00:20:00.000	0.00000E+000  	2.84480E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84480E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
21            	0:00:21:00.000	1             	0:00:21:00.000	1             	0:00:21:00.000	0.00000E+000  	2.84464E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84464E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
22            	0:00:22:00.000	1             	0:00:22:00.000	1             	0:00:22:00.000	0.00000E+000  	2.84464E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84464E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
23            	0:00:23:00.000	1             	0:00:23:00.000	1             	0:00:23:00.000	0.00000E+000  	2.84480E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84480E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
24            	0:00:24:00.000	1             	0:00:24:00.000	1             	0:00:24:00.000	0.00000E+000  	2.84448E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84448E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
25            	0:00:25:00.000	1             	0:00:25:00.000	1             	0:00:25:00.000	0.00000E+000  	2.84448E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84448E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
26            	0:00:26:00.000	1             	0:00:26:00.000	1             	0:00:26:00.000	0.00000E+000  	2.84448E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84448E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
27            	0:00:27:00.000	1             	0:00:27:00.000	1             	0:00:27:00.000	0.00000E+000  	2.84432E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84432E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
28            	0:00:28:00.000	1             	0:00:28:00.000	1             	0:00:28:00.000	0.00000E+000  	2.84432E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84432E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
29            	0:00:29:00.000	1             	0:00:29:00.000	1             	0:00:29:00.000	0.00000E+000  	2.84432E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84432E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
30            	0:00:30:00.000	1             	0:00:30:00.000	1             	0:00:30:00.000	0.00000E+000  	2.84432E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84432E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00000E+000  	101mA         
31            	0:00:30:00.210	1             	0:00:30:00.210	2             	0:00:00:00.210	-3.82040E-005 	2.84226E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84432E+000  	-1.08586E-004 	-7.43969E+004 	-2.22857E-009 	2.22857E-009  	100uA         
32            	0:00:31:00.210	1             	0:00:31:00.210	3             	0:00:01:00.000	0.00000E+000  	2.84432E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84432E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
33            	0:00:32:00.210	1             	0:00:32:00.210	3             	0:00:02:00.000	0.00000E+000  	2.84416E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84416E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
34            	0:00:33:00.210	1             	0:00:33:00.210	3             	0:00:03:00.000	0.00000E+000  	2.84432E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84432E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
35            	0:00:34:00.210	1             	0:00:34:00.210	3             	0:00:04:00.000	0.00000E+000  	2.84432E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84432E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
36            	0:00:35:00.210	1             	0:00:35:00.210	3             	0:00:05:00.000	0.00000E+000  	2.84432E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84432E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
37            	0:00:36:00.210	1             	0:00:36:00.210	3             	0:00:06:00.000	0.00000E+000  	2.84400E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84400E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
38            	0:00:37:00.210	1             	0:00:37:00.210	3             	0:00:07:00.000	0.00000E+000  	2.84416E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84416E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
39            	0:00:38:00.210	1             	0:00:38:00.210	3             	0:00:08:00.000	0.00000E+000  	2.84416E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84416E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
40            	0:00:39:00.210	1             	0:00:39:00.210	3             	0:00:09:00.000	0.00000E+000  	2.84416E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84416E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
41            	0:00:40:00.210	1             	0:00:40:00.210	3             	0:00:10:00.000	0.00000E+000  	2.84400E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84400E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
42            	0:00:41:00.210	1             	0:00:41:00.210	3             	0:00:11:00.000	0.00000E+000  	2.84432E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84432E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
43            	0:00:42:00.210	1             	0:00:42:00.210	3             	0:00:12:00.000	0.00000E+000  	2.84400E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84400E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
44            	0:00:43:00.210	1             	0:00:43:00.210	3             	0:00:13:00.000	0.00000E+000  	2.84400E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84400E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
45            	0:00:44:00.210	1             	0:00:44:00.210	3             	0:00:14:00.000	0.00000E+000  	2.84400E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84400E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
46            	0:00:45:00.210	1             	0:00:45:00.210	3             	0:00:15:00.000	0.00000E+000  	2.84400E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84400E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
47            	0:00:46:00.210	1             	0:00:46:00.210	3             	0:00:16:00.000	0.00000E+000  	2.84400E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84400E+000  	0.00000E+000  	0.00000E+000  	-2.22857E-009 	0.00000E+000  	101mA         
